Word	Havg	StDev	FreqListRank	TwitterRank
mempercayai	549	6.86	1.2291	2092	--
syang	550	6.86	1.4984	--	2359
couple	551	6.86	1.1954	--	2471
santun	552	6.86	1.3403	5776	--
seruu	553	6.86	1.4709	--	5797
keluargaku	554	6.86	1.4709	1563	--
kehormatan	555	6.86	1.4570	1157	--
jaya	556	6.86	1.1954	--	3025
mama	557	6.86	1.5254	757	342
health	558	6.86	1.3403	--	5896
teman	559	6.84	1.2513	163	480
bali	560	6.84	1.4194	--	1044
yess	561	6.84	1.2182	--	4509
cahaya	562	6.84	1.1314	673	4829
mendapatkanmu	563	6.84	1.2675	5462	--
memberkati	564	6.84	1.2993	3643	--
mamaku	565	6.84	1.4194	--	6045
unlimited	566	6.84	1.3149	--	6076
ayah	567	6.84	1.4049	140	951
berkembang	568	6.84	1.1132	1963	--
bergurau	569	6.84	1.2182	3585	--
pesona	570	6.84	1.0373	5931	--
pangeran	571	6.84	1.2349	1288	5070
bismillah	572	6.84	1.8335	--	1808
thnks	573	6.84	1.2675	--	4676
menghargainya	574	6.82	1.1373	4694	--
oleh2	575	6.82	1.1373	--	2522
pasangan	576	6.82	1.2237	1204	1163
bayi	577	6.82	1.3952	481	2401
nyenyak	578	6.82	1.0240	3581	5768
bakat	579	6.82	1.0821	2630	4720
smangat	580	6.82	1.4665	--	3682
musik	581	6.82	1.1008	732	1421
kekuatan	582	6.82	1.3805	507	1929
yes	583	6.82	1.2728	3204	922
jalan2	584	6.82	1.2403	--	2131
promote	585	6.82	1.3200	--	775
berdansa	586	6.82	0.9624	1948	--
pemandangan	587	6.82	1.3952	2474	--
istriku	588	6.82	1.3354	1229	--
dihatimu	589	6.82	1.2887	--	3672
menghormati	590	6.82	1.0631	1826	--
menyembuhkan	591	6.82	1.5345	3833	--
shopping	592	6.80	1.1429	--	5122
ajaib	593	6.80	1.3702	2608	--
menyelamatkannya	594	6.80	1.3401	3176	--
sholat	595	6.80	2.2406	--	963
welcome	596	6.80	1.1249	5640	1486
meningkat	597	6.80	1.1429	3067	6189
beres	598	6.80	1.0690	1636	2457
menyelamatkanku	599	6.80	1.3401	5007	--
haii	600	6.80	1.1952	--	2532
baru	601	6.80	1.1066	113	51
hope	602	6.80	1.3702	--	970
masakan	603	6.80	1.0498	5290	--
aseek	604	6.80	1.4983	--	4262
perawan	605	6.80	1.4569	2612	--
nyanyi	606	6.80	1.1066	--	1001
yesus	607	6.80	1.7261	879	4478
keselamatan	608	6.80	1.3553	2317	--
okeee	609	6.80	1.2936	--	3982
indonesian	610	6.78	1.4184	--	3562
#indonesia	611	6.78	1.5687	--	3743
kawin	612	6.78	1.5158	5565	3369
perkasa	613	6.78	1.0934	5783	--
kluarga	614	6.78	1.3138	--	4872
rapi	615	6.78	1.4886	4197	5545
together	616	6.78	1.3293	--	3561
angel	617	6.78	1.5425	2979	2432
menyetujui	618	6.78	1.0359	3305	--
dinner	619	6.78	1.1301	--	3586
true	620	6.78	1.2501	--	1910
assalamualaikum	621	6.78	1.7296	--	5120
saturday	622	6.78	1.3293	--	4578
doaku	623	6.78	1.3293	--	2276
kawanku	624	6.78	1.1301	5603	--
support	625	6.78	1.1830	--	1871
biggest	626	6.78	1.2824	--	3173
sate	627	6.78	1.3596	--	3020
menarik	628	6.78	1.0554	351	1572
bintang	629	6.76	1.1528	499	1222
menolongku	630	6.76	1.1528	3492	--
permainan	631	6.76	1.1877	515	4419
dance	632	6.76	1.1704	2798	1968
award	633	6.76	1.2545	--	4864
menangkan	634	6.76	1.2216	4568	--
tangguh	635	6.76	1.2707	2810	--
makanan	636	6.76	1.1704	413	939
gadisku	637	6.76	1.2048	5214	--
makasih	638	6.76	1.2707	1834	171
modern	639	6.76	1.2707	3210	--
mudah	640	6.76	1.1350	359	508
kawan	641	6.76	1.2867	383	972
wkkw	642	6.76	2.1243	--	5943
bunga	643	6.76	1.1168	821	1917
truth	644	6.76	1.3486	--	5093
naksir	645	6.76	0.9161	--	4079
rekor	646	6.74	1.1572	4050	4866
relationship	647	6.74	1.2257	--	3615
seksi	648	6.74	1.3219	1420	3034
teguh	649	6.74	1.2586	--	4535
like	650	6.74	1.1572	1846	285
mengasihi	651	6.74	0.9858	4695	--
penghormatan	652	6.74	1.1572	5572	--
orangtuaku	653	6.74	1.6759	5460	--
tour	654	6.74	1.3674	--	3108
laba	655	6.74	1.3969	3250	--
trust	656	6.74	1.4259	--	4745
goodnight	657	6.74	1.1031	--	4781
doanya	658	6.74	1.4542	--	4768
luv	659	6.74	1.4820	--	5776
hhehe	660	6.74	1.4115	--	3542
ahli	661	6.74	1.2423	906	5952
terang	662	6.74	1.1920	1550	2541
